timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,user_agent,url,is_internal_traffic,label,attack_type
2025-10-01 00:12:54,188.176.27.165,253.240.113.218,56377,445,TCP,8029,17204,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/login?id=385071,False,0,benign
2025-10-01 00:23:43,68.59.26.43,212.75.38.111,51165,1433,TCP,676368,2643374,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://portal.example.org/owa/auth/logon.aspx?id=280743,False,0,benign
2025-10-01 00:25:46,119.204.243.78,90.28.90.234,14948,1433,TCP,316502,38571,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,False,0,benign
2025-10-01 00:27:21,122.119.194.175,175.140.78.230,36097,443,TCP,70933,21935,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/phpmyadmin?id=114701,False,0,benign
2025-10-01 00:40:09,181.199.242.68,55.99.177.69,445,21255,TCP,12721,9939,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://portal.example.org/config.php?id=345569,False,0,benign
2025-10-01 00:56:45,38.222.6.74,191.130.7.118,58858,445,UDP,150393,94993,curl/8.4.0,,False,0,benign
2025-10-01 01:19:57,238.229.195.174,16.182.72.24,25167,443,TCP,3592,1081,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",https://internal.bank.local/?id=432022,True,0,benign
2025-10-01 01:34:30,81.21.49.235,119.87.191.7,37602,22,TCP,123317,41293,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/phpmyadmin?id=957608,False,0,benign
2025-10-01 01:35:33,137.181.221.157,44.124.13.254,18315,53,TCP,97222,233071,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,https://internal.bank.local/admin?id=567716,False,0,benign
2025-10-01 01:40:38,236.139.171.70,89.15.217.112,12283,21,TCP,17289,35727,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,False,0,benign
